year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2004,1,AA,American Airlines Inc.,SMF,"Sacramento, CA: Sacramento International",181,64,30.09,7.2,11.98,0,14.73,2,0,3032,1574,274,400,0,784
2004,1,AA,American Airlines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",547,144,43.12,25.6,42.09,1.65,31.54,19,4,6404,2020,1325,1369,114,1576
2004,1,AA,American Airlines Inc.,STL,"St. Louis, MO: Lambert-St. Louis International",1609,316,86.63,47.97,52.82,0,128.59,69,1,19042,7027,2414,1961,0,7640
2004,1,AA,American Airlines Inc.,STT,"Charlotte Amalie, VI: Cyril E King",170,38,10.09,10.68,12.57,0,4.66,6,0,1690,665,363,445,0,217
2004,1,AA,American Airlines Inc.,STX,"Christiansted, VI: Henry E. Rohlsen",31,4,1.68,0,1.9,0,0.42,0,0,228,160,0,57,0,11
2004,1,AA,American Airlines Inc.,TPA,"Tampa, FL: Tampa International",632,147,50.22,21.17,29.3,0,46.32,7,0,8513,2924,1237,1268,0,3084
2004,1,AA,American Airlines Inc.,TUL,"Tulsa, OK: Tulsa International",351,111,31.79,19.01,20.15,0,40.05,8,0,6085,1216,1238,812,0,2819
2004,1,AA,American Airlines Inc.,TUS,"Tucson, AZ: Tucson International",306,77,19.81,10.35,17.05,0,29.8,7,0,3440,733,614,551,0,1542
2004,1,AA,American Airlines Inc.,XNA,"Fayetteville, AR: Northwest Arkansas Regional",144,48,7.15,9.92,6.68,0,24.24,10,1,2912,385,518,393,0,1616
2004,2,AA,American Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",255,67,16.04,15.4,14.17,0,21.39,0,1,3235,633,771,555,0,1276
2004,2,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",654,284,27.04,10.83,198.18,0,47.95,30,0,17856,1982,615,11761,0,3498
2004,2,AA,American Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",735,177,34.9,24.61,60.43,0,57.06,13,0,7735,1330,1263,2019,0,3123
2004,2,AA,American Airlines Inc.,BDL,"Hartford, CT: Bradley International",339,92,27.39,14.62,28.5,0,21.49,3,0,4208,1220,767,973,0,1248
2004,2,AA,American Airlines Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",86,13,3.61,1.11,0.85,0,7.43,1,1,890,219,60,44,0,567
2004,2,AA,American Airlines Inc.,BNA,"Nashville, TN: Nashville International",410,81,21.83,11.52,16.83,0,30.82,8,0,3930,910,519,718,0,1783
2004,2,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",1406,266,74.05,23.5,96.99,0,71.47,24,2,13917,4863,1274,3451,0,4329
2004,2,AA,American Airlines Inc.,BUR,"Burbank, CA: Bob Hope",116,24,4.79,4.29,5.14,0,9.78,2,0,996,142,215,153,0,486
2004,2,AA,American Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",491,102,39.23,16.38,15.18,0,31.21,4,0,5620,2295,804,599,0,1922
2004,2,AA,American Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",112,24,5.69,2.18,6.03,0,10.1,2,0,1070,258,98,171,0,543
2004,2,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",163,26,7.16,3.87,7.7,0,7.27,9,0,1438,192,340,246,0,660
2004,2,AA,American Airlines Inc.,CMH,"Columbus, OH: Port Columbus International",110,34,12.44,3.54,8.42,0,9.6,1,0,1879,774,265,304,0,536
2004,2,AA,American Airlines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",143,32,9.15,5.44,4.75,0,12.66,1,0,1351,279,261,90,0,721
2004,2,AA,American Airlines Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",58,13,2.69,3.36,1.91,0,5.04,1,0,542,82,118,116,0,226
2004,2,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",830,167,54.54,19.91,39.82,0,52.73,18,1,7339,2403,1011,1396,0,2529
2004,2,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",686,139,38.58,21.34,29.3,0,49.77,12,0,6277,1982,933,954,0,2408
2004,2,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",13010,2721,372.93,134.16,1419.45,2.04,792.42,237,43,136282,26872,8570,53679,52,47109
2004,2,AA,American Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",463,87,16.91,9.32,24.86,0,35.91,7,0,3911,894,374,997,0,1646
2004,2,AA,American Airlines Inc.,EGE,"Eagle, CO: Eagle County Regional",162,47,19.32,9.23,10.38,0,8.08,0,0,1837,633,501,399,0,304
2004,2,AA,American Airlines Inc.,ELP,"El Paso, TX: El Paso International",253,50,11.99,10.1,9.72,0,18.19,2,0,2249,443,448,326,0,1032
2004,2,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",756,167,45.58,12.23,68.9,0,40.29,31,0,8555,2713,922,2377,0,2543
2004,2,AA,American Airlines Inc.,FAT,"Fresno, CA: Fresno Yosemite International",58,12,2.03,4.04,2.78,0,3.15,2,0,467,67,199,75,0,126
2004,2,AA,American Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",762,181,45.47,13.13,62.94,0,59.47,3,2,9529,2403,905,2619,0,3602
2004,2,AA,American Airlines Inc.,HDN,"Hayden, CO: Yampa Valley",62,15,4.85,2.7,2.81,0,4.64,0,1,843,383,123,141,0,196
2004,2,AA,American Airlines Inc.,HNL,"Honolulu, HI: Honolulu International",257,92,18.84,4.09,64.87,0,4.2,1,0,4668,1850,240,2333,0,245
2004,2,AA,American Airlines Inc.,HOU,"Houston, TX: William P Hobby",94,26,2.65,0.77,14.85,0,7.73,1,0,808,80,39,427,0,262
2004,2,AA,American Airlines Inc.,HPN,"White Plains, NY: Westchester County",158,50,12.71,2.9,8.59,0,25.79,11,1,2500,698,179,380,0,1243
2004,2,AA,American Airlines Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",58,12,0,4.08,2.55,0,5.37,0,0,681,0,305,71,0,305
2004,2,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",348,53,16.82,5.24,19.67,0,11.27,2,0,2515,769,373,676,0,697
2004,2,AA,American Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",447,125,28.74,8.5,54.04,0,33.72,7,1,5883,1183,540,2148,0,2012
2004,2,AA,American Airlines Inc.,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",58,12,1.43,2.46,0.97,0,7.14,1,0,695,56,123,58,0,458
2004,2,AA,American Airlines Inc.,IND,"Indianapolis, IN: Indianapolis International",305,69,20.26,10,11.36,0,27.37,10,0,3273,957,584,517,0,1215
2004,2,AA,American Airlines Inc.,JAC,"Jackson, WY: Jackson Hole",33,5,1.99,0.24,0.77,0,2,0,0,453,251,19,62,0,121
2004,2,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",87,20,6.89,4.49,4.6,0,4.01,0,0,1024,301,264,231,0,228
2004,2,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1207,229,70.72,4.85,100.85,0,52.57,14,1,10229,3874,220,3061,0,3074
2004,2,AA,American Airlines Inc.,KOA,"Kona, HI: Kona International Airport at Keahole",46,13,3.09,0,9.91,0,0,0,0,401,135,0,266,0,0
2004,2,AA,American Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",742,222,56.64,23.26,99.7,0,42.39,2,1,14027,2413,1380,7750,0,2484
2004,2,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2451,419,112.97,38.07,157.41,2,108.55,35,6,20718,7119,2014,4822,47,6716
2004,2,AA,American Airlines Inc.,LGA,"New York, NY: LaGuardia",1828,492,95.38,31.44,220.69,0.28,144.21,62,2,22409,5608,1696,7445,7,7653
2004,2,AA,American Airlines Inc.,LGB,"Long Beach, CA: Long Beach Airport",196,42,12.97,4.05,11.85,0.83,12.29,0,1,1930,683,153,471,15,608
2004,2,AA,American Airlines Inc.,LIH,"Lihue, HI: Lihue Airport",29,6,0.39,0,5.61,0,0,0,0,192,18,0,174,0,0
2004,2,AA,American Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",553,126,33.39,21.07,29.2,0,42.34,19,2,5599,1375,950,1207,0,2067
2004,2,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",879,231,78.16,18.72,75.37,0,58.75,4,0,10880,3797,1049,2631,0,3403
2004,2,AA,American Airlines Inc.,MDW,"Chicago, IL: Chicago Midway International",130,26,8.23,1.64,6.61,0,9.52,3,0,1357,340,110,323,0,584
2004,2,AA,American Airlines Inc.,MEM,"Memphis, TN: Memphis International",57,10,2.7,1.33,0.93,0,5.05,0,0,638,88,95,63,0,392
2004,2,AA,American Airlines Inc.,MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International",111,20,3.06,3.36,6.42,0,7.16,0,0,895,81,160,328,0,326
2004,2,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",3380,644,173.64,44.81,281.9,2.49,141.16,19,3,31963,10216,2541,10464,175,8567
2004,2,AA,American Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",467,138,17.13,17.09,62.59,0.29,40.91,35,0,5847,776,861,2160,6,2044
2004,2,AA,American Airlines Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",513,107,25.96,15.13,45.5,0,20.41,4,4,5226,1091,1104,1762,0,1269
2004,2,AA,American Airlines Inc.,MTJ,"Montrose/Delta, CO: Montrose Regional",13,4,0.64,1.35,1,0,1.01,0,0,274,85,54,17,0,118
